user_id,book_id,rating
42562,2757,3
43232,134,4
37244,1463,5
53366,71,2
29634,3339,4
2268,2250,4
36766,39,4
18377,1544,4
41168,182,5
14453,35,4
42047,227,5
42864,482,3
27058,737,4
33937,6462,5
6400,4427,2
48534,78,3
39681,2119,5
40068,245,3
27520,3966,3
41826,361,5
41122,2384,5
43535,5283,5
17418,2236,5
9224,403,5
16172,5562,3
10617,321,4
46496,5890,1
40374,2506,4
9706,74,3
39507,5814,5
20636,20,4
6657,381,4
25338,586,5
33668,2241,4
50625,1277,5
46728,2552,5
3184,725,5
51408,5374,3
35025,7582,1
24591,3341,5
39198,6394,4
43643,51,4
18768,1033,3
46674,291,4
25366,136,1
22329,291,4
35119,1658,4
33291,1821,4
39097,74,5
14641,177,5
38687,1700,5
35004,737,3
3876,1781,5
967,2672,5
43317,17,2
20587,792,4
33375,374,3
9209,2,5
37169,996,4
27611,8578,5
7727,2890,3
11440,6489,5
15078,72,4
29388,180,3
43079,275,5
15044,820,5
732,1628,4
3170,1050,2
39944,2879,3
41302,4585,2
15756,2116,3
41923,18,3
43408,740,5
17351,1484,5
17253,8543,4
15434,5195,3
8959,1526,1
52559,1163,4
36093,313,2
35729,9990,3
18240,1003,4
49709,2056,5
3332,1024,4
18893,1288,5
41919,2297,4
17392,235,5
52409,1142,4
25633,294,4
38906,110,3
16890,992,5
45284,55,1
10111,1231,4
9570,2993,4
14880,153,3
7354,38,4
33579,271,3
32586,6,4
52018,1139,4
23019,2123,5
13625,13,3
41012,704,4
16580,352,5
41513,2990,5
35065,1022,4
33233,880,3
5980,5080,3
24968,205,3
19832,6311,5
41743,4366,4
44260,1211,5
42758,1651,5
18601,82,5
16763,297,5
44865,137,5
3882,9247,5
7484,200,4
34245,631,3
31412,6930,3
18416,1131,5
17002,196,4
30743,2904,4
14496,178,4
41769,2010,5
8061,62,5
51583,1681,4
3208,1911,4
44474,3873,5
5402,1521,5
17009,1214,1
17187,27,5
29713,736,1
24812,103,5
34242,7766,5
5151,50,5
1535,3780,4
45614,443,5
43514,158,5
19602,1100,5
50485,141,3
10043,730,2
44103,4103,5
10293,63,3
17885,2432,5
12666,7697,3
41848,2647,5
53150,84,3
34151,3395,5
39152,4232,5
16229,30,5
8627,6402,4
7920,688,4
17613,26,3
307,4563,3
13171,6865,4
8914,31,5
24154,3829,4
22599,26,5
28636,5425,4
50240,361,3
8293,1281,4
46875,7847,5
8736,6634,4
39115,2784,3
11687,3354,5
5172,42,4
21317,412,4
28078,239,4
39250,1477,5
33383,313,5
52742,915,4
19159,1863,5
49885,148,5
40948,2,5
5596,8796,5
25973,934,2
11403,722,3
51809,70,5
33422,1168,5
334,5650,3
50017,602,4
6581,695,4
8910,208,5
39838,1023,4
50566,3248,5
24433,824,5
15904,245,4
7812,11,3
17225,491,3
8985,314,4
36708,577,3
52950,221,4
52309,2657,5
875,2193,1
8127,2745,4
